kanwil,nama_upt
Kalimantan Selatan,BAPAS KELAS II BATULICIN
Kalimantan Selatan,LAPAS KELAS IIA BANJARMASIN
Kalimantan Selatan,LAPAS KELAS IIA KOTABARU
Kalimantan Selatan,LAPAS KELAS IIA NARKOTIKA KARANG INTAN
Kalimantan Selatan,LAPAS KELAS IIB AMUNTAI
Kalimantan Selatan,LAPAS KELAS IIB BANJARBARU
Kalimantan Selatan,LAPAS KELAS IIB TANJUNG
Kalimantan Selatan,LAPAS KELAS III BATULICIN
Kalimantan Selatan,LAPAS PEREMPUAN KELAS IIA MARTAPURA
Kalimantan Selatan,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS I MARTAPURA
Kalimantan Selatan,RUTAN KELAS IIB BARABAI
Kalimantan Selatan,RUTAN KELAS IIB KANDANGAN
Kalimantan Selatan,RUTAN KELAS IIB MARABAHAN
Kalimantan Selatan,RUTAN KELAS IIB PELAIHARI
Kalimantan Selatan,RUTAN KELAS IIB RANTAU
Kalimantan Selatan,RUTAN KELAS IIB TANJUNG
Kalimantan Tengah,BAPAS KELAS I PALANGKARAYA
Kalimantan Tengah,BAPAS KELAS II MUARA TEWEH
Kalimantan Tengah,BAPAS KELAS II PANGKALAN BUN
Kalimantan Tengah,BAPAS KELAS II SAMPIT
Kalimantan Tengah,LAPAS KELAS IIA PALANGKARAYA
Kalimantan Tengah,LAPAS KELAS IIB MUARA TEWEH
Kalimantan Tengah,LAPAS KELAS IIB PANGKALAN BUN
Kalimantan Tengah,LAPAS KELAS IIB SAMPIT
Kalimantan Tengah,LAPAS KELAS III SUKAMARA
Kalimantan Tengah,LAPAS NARKOTIKA KELAS IIA KASONGAN
Kalimantan Tengah,LAPAS PEREMPUAN KELAS IIA PALANGKARAYA
Kalimantan Tengah,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II PALANGKARAYA
Kalimantan Tengah,RUTAN KELAS IIA PALANGKARAYA
Kalimantan Tengah,RUTAN KELAS IIB BUNTOK
Kalimantan Tengah,RUTAN KELAS IIB KUALA KAPUAS
Kalimantan Tengah,RUTAN KELAS IIB TAMIANG LAYANG
Kalimantan Timur,BAPAS KELAS I BALIKPAPAN
Kalimantan Timur,BAPAS KELAS I SAMARINDA
Kalimantan Timur,BAPAS KELAS II TARAKAN
